epoch,train_loss,val_loss,train_acc,val_acc
1,0.503919780254364,0.3384423851966858,0.9087647199630737,0.9452221989631653
2,0.2718903124332428,0.26657572388648987,0.9621176719665527,0.9599999785423279
3,0.21812421083450317,0.23567147552967072,0.9722157120704651,0.9646666646003723
4,0.18714037537574768,0.22138752043247223,0.9777058959007263,0.9643333554267883
5,0.16681087017059326,0.20906086266040802,0.9802941083908081,0.964888870716095
6,0.1531185507774353,0.20103228092193604,0.9824117422103882,0.9654444456100464
7,0.14277663826942444,0.19791187345981598,0.9843529462814331,0.9646666646003723
8,0.13517488539218903,0.1931661069393158,0.9858627319335938,0.9666666388511658
9,0.1296175718307495,0.19314910471439362,0.9864901900291443,0.9653333425521851
10,0.12540607154369354,0.19506436586380005,0.9875097870826721,0.9642221927642822
11,0.12094675749540329,0.19250454008579254,0.9880980253219604,0.9649999737739563
12,0.11845025420188904,0.18157075345516205,0.9879999756813049,0.9685555696487427
