epoch,train_loss,val_loss,train_acc,val_acc
1,0.31600895524024963,0.19198615849018097,0.9095882177352905,0.9440000057220459
2,0.1215025782585144,0.12875117361545563,0.9632745385169983,0.9616666436195374
3,0.08041280508041382,0.11025213450193405,0.9758039116859436,0.9682222008705139
4,0.05488790199160576,0.10191302746534348,0.9835489988327026,0.9703333377838135
5,0.04075801372528076,0.09550997614860535,0.9883333444595337,0.9726666808128357
6,0.031451888382434845,0.09104789793491364,0.9906666874885559,0.9737777709960938
7,0.026073122397065163,0.09743287414312363,0.9920392036437988,0.9733333587646484
8,0.020405462011694908,0.09998992830514908,0.9937450885772705,0.9732221961021423
9,0.016393117606639862,0.09722809493541718,0.9949803948402405,0.9763333201408386
10,0.014466381631791592,0.09889353066682816,0.996137261390686,0.9764444231987
11,0.011787401512265205,0.10631264001131058,0.9961960911750793,0.9765555262565613
12,0.011854525655508041,0.12263885140419006,0.9962549209594727,0.9742222428321838
