epoch,train_loss,val_loss,train_acc,val_acc
1,0.6934735774993896,0.3751424551010132,0.8466863036155701,0.940666675567627
2,0.3859144449234009,0.2925601303577423,0.9335294365882874,0.9564444422721863
3,0.31436392664909363,0.2528189718723297,0.9489019513130188,0.9633333086967468
4,0.28213122487068176,0.236378014087677,0.9549803733825684,0.9642221927642822
5,0.25750911235809326,0.21436366438865662,0.9580784440040588,0.9707777500152588
6,0.24525129795074463,0.2168949395418167,0.9596666693687439,0.9673333168029785
7,0.23216955363750458,0.1988951563835144,0.9624117612838745,0.9722222089767456
8,0.2271781712770462,0.1962466835975647,0.9631176590919495,0.9721111059188843
9,0.2229737639427185,0.19038861989974976,0.9647843241691589,0.972777783870697
10,0.21826720237731934,0.19632214307785034,0.9651960730552673,0.9700000286102295
11,0.2136235386133194,0.18796348571777344,0.9657058715820312,0.9743333458900452
12,0.21132996678352356,0.18744593858718872,0.9653333425521851,0.9718888998031616
