epoch,train_loss,val_loss,train_acc,val_acc
1,0.4971665143966675,0.19148816168308258,0.8454117774963379,0.9424444437026978
2,0.2164880931377411,0.13394924998283386,0.9356470704078674,0.9602222442626953
3,0.16352249681949615,0.11064648628234863,0.9509412050247192,0.9662222266197205
4,0.13580630719661713,0.1006920337677002,0.9602745175361633,0.9711111187934875
5,0.12034425884485245,0.08914762735366821,0.9645490050315857,0.9742222428321838
6,0.10440821200609207,0.09163610637187958,0.9677255153656006,0.9739999771118164
7,0.09563030302524567,0.08998999744653702,0.9711372256278992,0.9748888611793518
8,0.08731342852115631,0.07937845587730408,0.9727647304534912,0.9753333330154419
9,0.0806288942694664,0.0865502655506134,0.9748823642730713,0.9766666889190674
10,0.07506163418292999,0.08385441452264786,0.9760980606079102,0.9771111011505127
11,0.0691177248954773,0.08482866734266281,0.9784509539604187,0.9783333539962769
12,0.06417343765497208,0.08506900072097778,0.9799607992172241,0.9766666889190674
