epoch,train_loss,val_loss,train_acc,val_acc
1,0.49999192357063293,0.34927645325660706,0.9100000262260437,0.9436666369438171
2,0.2719912827014923,0.2801140546798706,0.9631960988044739,0.9559999704360962
3,0.21766884624958038,0.23081524670124054,0.9726666808128357,0.9662222266197205
4,0.18645811080932617,0.2076072245836258,0.9773529171943665,0.9685555696487427
5,0.1656470000743866,0.1962021142244339,0.9813137054443359,0.9685555696487427
6,0.15029698610305786,0.18831440806388855,0.9836470484733582,0.9687777757644653
7,0.1406736820936203,0.1846642941236496,0.985039234161377,0.9683333039283752
8,0.13401226699352264,0.17868097126483917,0.9860196113586426,0.9685555696487427
9,0.12864278256893158,0.17204409837722778,0.9867255091667175,0.971666693687439
10,0.12354903668165207,0.16683031618595123,0.9876274466514587,0.9714444279670715
11,0.11958588659763336,0.16456030309200287,0.9884510040283203,0.972000002861023
12,0.11780295521020889,0.17164075374603271,0.9879999756813049,0.9705555438995361
