epoch,train_loss,val_loss,train_acc,val_acc
1,0.311911404132843,0.17693184316158295,0.9111568331718445,0.9482222199440002
2,0.11626467108726501,0.12708449363708496,0.965137243270874,0.961555540561676
3,0.07645627856254578,0.10877839475870132,0.9777843356132507,0.9671111106872559
4,0.0549134835600853,0.10033345222473145,0.9842941164970398,0.9698888659477234
5,0.041144099086523056,0.09065038710832596,0.9883137345314026,0.971666693687439
6,0.029392743483185768,0.08558280766010284,0.9919215440750122,0.9743333458900452
7,0.02285715937614441,0.09364756941795349,0.9933529496192932,0.975777804851532
8,0.020200638100504875,0.10784757882356644,0.9937646985054016,0.9739999771118164
9,0.013089296407997608,0.08356216549873352,0.9963725209236145,0.9787777662277222
10,0.006591374520212412,0.08274088054895401,0.9988235235214233,0.9793333411216736
11,0.0038864263333380222,0.08817361295223236,0.9995882511138916,0.9784444570541382
12,0.0028824741020798683,0.08748424798250198,0.999803900718689,0.9792222380638123
